name,schluessel,gemeinde,gmdschl,bbox
Balve,51034,Balve,5962008,"(416505.92, 5685668.71, 422227.29, 5690223.0)"
Vormholz,51089,Witten,5954036,"(380475.86, 5693082.57, 383527.55, 5698615.73)"
Westherbede,51090,Witten,5954036,"(378439.01, 5694901.96, 381162.14, 5698480.18)"
Altenbochum,51091,Bochum,5911000,"(377254.55, 5702010.05, 379576.9, 5705900.9)"
Hofstede,51099,Bochum,5911000,"(373529.9, 5706407.14, 376775.23, 5708921.14)"
Eisborn,51037,Balve,5962008,"(419790.95, 5691583.05, 423970.97, 5694681.83)"
Garbeck,51038,Balve,5962008,"(414492.32, 5683338.15, 420348.72, 5688907.79)"
Küntrop,51039,Neuenrade,5962048,"(415675.08, 5679396.13, 419006.34, 5684546.01)"
Langenholthausen,51040,Balve,5962008,"(419458.23, 5682599.94, 425727.58, 5686683.71)"
Laer,51101,Bochum,5911000,"(378239.26, 5701183.19, 381629.37, 5705008.86)"
Querenburg,51102,Bochum,5911000,"(377421.41, 5698372.93, 381893.42, 5702880.48)"
Riemke,51103,Bochum,5911000,"(374696.13, 5707394.58, 377719.21, 5709389.17)"
Weitmar,51105,Bochum,5911000,"(372282.48, 5697998.78, 376542.53, 5704714.92)"
Wiemelhausen,51106,Bochum,5911000,"(374411.89, 5700160.28, 379017.43, 5704419.35)"
Breitenbruch,51044,Arnsberg,5958004,"(435573.02, 5696433.29, 440399.58, 5700118.52)"
Freienohl,51045,Meschede,5958032,"(438860.9, 5690303.68, 443156.24, 5693941.4)"
Grevenstein,51046,Meschede,5958032,"(437000.27, 5679756.83, 440842.32, 5685719.81)"
Hellefeld,51047,Sundern (Sauerl.),5958044,"(432988.25, 5685978.08, 438501.87, 5690477.4)"
Sevinghausen,51157,Bochum,5911000,"(368587.48, 5701193.39, 370849.83, 5703964.33)"
Wattenscheid,51159,Bochum,5911000,"(368837.99, 5703747.72, 373021.26, 5706649.3)"
Westenfeld,51160,Bochum,5911000,"(370184.44, 5702433.18, 373183.04, 5704962.25)"
Witten,51161,Witten,5954036,"(381710.81, 5698074.07, 386924.65, 5702640.65)"
Altenbüren,51162,Brilon,5958012,"(462948.06, 5691197.99, 466893.63, 5699367.9)"
Oeventrop,51051,Arnsberg,5958004,"(438686.46, 5691635.67, 445081.61, 5699354.37)"
Uentrop,51053,Arnsberg,5958004,"(435547.84, 5693893.28, 439916.63, 5698199.1)"
Westenfeld,51055,Sundern (Sauerl.),5958044,"(430970.93, 5684948.54, 435011.39, 5689628.98)"
Hachen,51061,Sundern (Sauerl.),5958044,"(427372.25, 5687140.13, 433291.16, 5694163.52)"
Herdringen,51062,Arnsberg,5958004,"(425101.67, 5694419.89, 429610.76, 5698781.05)"
Holzen,51063,Arnsberg,5958004,"(422530.32, 5691718.56, 428275.78, 5699595.89)"
Hövel,51064,Sundern (Sauerl.),5958044,"(423771.76, 5688660.28, 428151.63, 5692845.52)"
Müschede,51068,Arnsberg,5958004,"(427389.12, 5693777.51, 433598.98, 5697449.93)"
Niedereimer,51069,Arnsberg,5958004,"(432020.15, 5695976.79, 437343.07, 5700117.01)"
Voßwinkel,51071,Arnsberg,5958004,"(421078.59, 5697981.81, 425743.02, 5705033.82)"
Neheim-Hüsten,51073,Arnsberg,5958004,"(423154.74, 5696059.51, 434065.9, 5703087.95)"
Allagen,51074,Warstein,5974044,"(444499.71, 5694885.33, 450523.66, 5708197.91)"
Belecke,51075,Warstein,5974044,"(451399.16, 5701741.44, 456515.53, 5707162.15)"
Warstein,51078,Warstein,5974044,"(449511.37, 5693267.36, 457638.12, 5702578.96)"
Blankenstein,51079,Hattingen,5954016,"(375791.56, 5693010.24, 378753.36, 5697287.85)"
Dahlhausen,51110,Bochum,5911000,"(369247.98, 5697453.88, 372906.62, 5700835.07)"
Dumberg,51111,Hattingen,5954016,"(368429.74, 5695594.0, 371309.49, 5698767.04)"
Linden,51114,Bochum,5911000,"(371452.46, 5697401.02, 374159.26, 5700258.78)"
Holthausen,51112,Hattingen,5954016,"(373763.7, 5693182.25, 377663.9, 5696320.98)"
Niederelfringhausen,51117,Hattingen,5954016,"(370821.65, 5688374.8, 373516.15, 5691575.21)"
Niederstüter,51118,Hattingen,5954016,"(372480.13, 5689672.95, 377286.36, 5693425.05)"
Winz,51125,Hattingen,5954016,"(370855.01, 5693591.83, 372964.73, 5697997.96)"
Hattingen,51126,Hattingen,5954016,"(371624.0, 5693288.31, 375165.36, 5697438.19)"
Baukau,51127,Herne,5916000,"(373502.44, 5711143.34, 376837.4, 5713667.15)"
Langendreer,51139,Bochum,5911000,"(381352.95, 5701685.17, 385351.39, 5706361.79)"
Obermarsberg,51211,Marsberg,5958024,"(484280.28, 5695566.2, 492560.34, 5700993.01)"
Werne,51142,Bochum,5911000,"(380395.81, 5703229.6, 383600.94, 5707442.12)"
Eppendorf,51145,Bochum,5911000,"(372023.68, 5700494.82, 374002.69, 5703221.39)"
Günnigfeld,51149,Bochum,5911000,"(370696.37, 5705001.48, 373080.83, 5707735.44)"
Höntrop,51151,Bochum,5911000,"(369922.05, 5700297.43, 372892.36, 5703568.97)"
Bigge,51165,Olsberg,5958036,"(461490.64, 5684936.38, 464412.58, 5691197.99)"
Benninghofen,51241,Dortmund,5913000,"(395293.7, 5701449.77, 398048.52, 5704497.27)"
Brackel,51242,Dortmund,5913000,"(397642.78, 5707198.17, 401483.56, 5711774.77)"
Hacheney,51243,Dortmund,5913000,"(391778.29, 5702748.58, 395253.56, 5705718.89)"
Kirchhörde,51244,Dortmund,5913000,"(389142.95, 5699008.67, 393515.37, 5704531.31)"
Siedlinghausen,51174,Winterberg,5958048,"(459424.13, 5671999.88, 465669.81, 5680125.06)"
Oestrich,51268,Dortmund,5913000,"(384869.54, 5712981.19, 387566.77, 5716225.26)"
Boele,51318,Hagen,5914000,"(391497.86, 5692702.65, 395856.37, 5697388.27)"
Delstern,51319,Hagen,5914000,"(395154.93, 5684839.22, 398419.81, 5690064.79)"
Eckesey,51320,Hagen,5914000,"(391885.92, 5691309.52, 394666.79, 5694015.65)"
Eppenhausen,51322,Hagen,5914000,"(394449.9, 5689402.7, 397073.41, 5692463.3)"
Fley,51323,Hagen,5914000,"(394255.2, 5692869.44, 397210.85, 5695267.87)"
Halden,51324,Hagen,5914000,"(394649.29, 5691553.18, 397538.95, 5694283.5)"
Brilon,51177,Brilon,5958012,"(464531.66, 5681988.69, 476380.78, 5701963.69)"
Hallenberg,51178,Hallenberg,5958020,"(464822.35, 5660406.44, 477540.69, 5665984.75)"
Braunshausen,51179,Hallenberg,5958020,"(475944.43, 5661529.91, 480407.93, 5665274.8)"
Hesborn,51180,Hallenberg,5958020,"(469787.66, 5664641.42, 476917.93, 5669572.45)"
Küstelberg,51187,Medebach,5958028,"(471209.21, 5672655.62, 475405.28, 5677472.09)"
Medebach,51188,Medebach,5958028,"(471363.28, 5667251.2, 483822.44, 5676161.31)"
Medelon,51189,Medebach,5958028,"(473991.4, 5666836.69, 478779.37, 5670636.83)"
Giershagen,51196,Marsberg,5958024,"(484616.0, 5692681.96, 489876.5, 5697710.92)"
Eversberg,51502,Meschede,5958032,"(450952.6, 5687475.19, 456388.89, 5694251.06)"
Gevelinghausen,51503,Olsberg,5958036,"(459238.22, 5681798.16, 463306.88, 5689848.31)"
Meschede-Stadt,51521,Meschede,5958032,"(448793.47, 5686366.24, 452794.3, 5695323.5)"
Heggen,51542,Finnentrop,5966012,"(422959.86, 5664658.56, 427874.96, 5670690.04)"
Helden,51543,Attendorn,5966004,"(423361.47, 5659465.78, 430349.24, 5667735.86)"
Windhausen,51544,Attendorn,5966004,"(415775.46, 5664391.16, 422866.2, 5669414.53)"
Attendorn,51545,Attendorn,5966004,"(420814.64, 5659191.62, 426216.36, 5669131.9)"
Elspe,51546,Lennestadt,5966020,"(429482.98, 5662319.03, 439577.81, 5670639.51)"
Grevenbrück,51547,Lennestadt,5966020,"(429120.72, 5661520.33, 434481.92, 5666500.05)"
Kirchveischede,51548,Lennestadt,5966020,"(427023.29, 5656603.27, 433672.68, 5662706.46)"
Rahrbach,51549,Kirchhundem,5966016,"(425252.68, 5653467.72, 433860.21, 5658742.02)"
Ewig,51541,Attendorn,5966004,"(417237.38, 5658564.31, 423608.03, 5665617.89)"
Selbecke,51563,Kirchhundem,5966016,"(438540.06, 5659602.12, 443973.66, 5662942.58)"
Würdinghausen,51564,Kirchhundem,5966016,"(436692.09, 5652473.98, 440397.88, 5662532.05)"
Kleusheim,51565,Olpe,5966024,"(422615.51, 5649611.43, 426464.05, 5657056.86)"
Olpe-Land,51566,Olpe,5966024,"(416067.51, 5649039.08, 423657.48, 5655919.09)"
Rhode,51568,Olpe,5966024,"(416628.23, 5654895.72, 428125.48, 5660278.61)"
Hünsborn,51569,Wenden,5966028,"(414698.43, 5641994.06, 424487.93, 5649389.08)"
Römershagen,51570,Wenden,5966028,"(414323.25, 5642076.13, 419565.35, 5648432.92)"
Schönau,51571,Wenden,5966028,"(421583.58, 5643862.11, 425754.5, 5649697.42)"
Wenden,51572,Wenden,5966028,"(416741.37, 5645159.41, 424519.87, 5650798.21)"
Burbach,51573,Burbach,5970008,"(433156.33, 5618494.36, 437594.0, 5623879.97)"
Niedermarsberg,51201,Marsberg,5958024,"(487378.95, 5699424.92, 493828.86, 5704491.34)"
Padberg,51202,Marsberg,5958024,"(479264.16, 5691555.5, 485716.93, 5695892.21)"
Madfeld,51214,Brilon,5958012,"(477895.53, 5696716.07, 483131.29, 5701678.2)"
Alme,51217,Brilon,5958012,"(470336.42, 5696986.26, 479282.79, 5703785.46)"
Winterberg,51225,Winterberg,5958048,"(462621.18, 5667817.51, 472602.34, 5676669.85)"
Hengsen,51231,Holzwickede,5978016,"(403084.85, 5700918.98, 407817.9, 5705524.55)"
Holzwickede,51232,Holzwickede,5978016,"(402558.48, 5704089.33, 406418.66, 5708658.06)"
Hörde,51247,Dortmund,5913000,"(394413.63, 5703778.15, 397327.61, 5706618.39)"
Bodelschwingh,51249,Dortmund,5913000,"(385403.85, 5711539.11, 388255.79, 5713642.56)"
Börnig,51250,Herne,5916000,"(378521.02, 5710706.97, 380613.54, 5714483.85)"
Westerfilde,51271,Dortmund,5913000,"(385476.61, 5710032.75, 388355.06, 5712148.23)"
Süddinker,51390,Hamm,5915000,"(423119.52, 5719406.17, 426421.35, 5722287.6)"
Brambauer,51273,Lünen,5978024,"(390388.72, 5715415.57, 395985.61, 5719228.24)"
Brechten,51274,Dortmund,5913000,"(392160.12, 5713386.35, 396195.77, 5716795.24)"
Kirchderne,51280,Dortmund,5913000,"(394997.5, 5709451.6, 398694.92, 5713898.32)"
Schwitten,51438,Menden (Sauerl.),5962040,"(414347.71, 5699742.96, 420060.6, 5703669.75)"
Sümmern,51439,Iserlohn,5962024,"(408167.97, 5694206.93, 412160.68, 5699728.66)"
Wimbern,51440,Wickede (Ruhr),5974056,"(419276.51, 5701291.3, 422303.12, 5704616.53)"
Menden,51441,Menden (Sauerl.),5962040,"(411406.26, 5695536.95, 419527.02, 5701653.78)"
Lünen,51283,Lünen,5978024,"(394871.33, 5715651.05, 399499.57, 5720520.36)"
Annen,51284,Witten,5954036,"(385111.15, 5695331.07, 388411.55, 5703654.05)"
Dorstfeld,51287,Dortmund,5913000,"(388606.83, 5706021.62, 391237.49, 5709409.77)"
Huckarde,51289,Dortmund,5913000,"(388419.21, 5708558.8, 390770.35, 5712414.92)"
Kley,51291,Dortmund,5913000,"(384740.22, 5704480.05, 386974.4, 5706774.33)"
Rüdinghausen,51296,Witten,5954036,"(387211.12, 5697984.8, 390408.72, 5701986.62)"
Schwerte,51298,Schwerte,5978028,"(398741.37, 5698733.1, 402828.39, 5703612.53)"
Holthausen,51326,Hagen,5914000,"(396761.27, 5687286.19, 399597.97, 5691237.14)"
Hagen,51328,Hagen,5914000,"(390805.2, 5685676.77, 396149.54, 5692877.73)"
Gennebreck,51329,Sprockhövel,5954028,"(372328.02, 5684126.74, 378251.39, 5688549.09)"
Ende,51333,Herdecke,5954020,"(385479.16, 5694963.25, 393475.25, 5699480.18)"
Herdecke,51335,Herdecke,5954020,"(385932.98, 5694393.69, 393267.59, 5698117.65)"
Schwelm,51339,Schwelm,5954024,"(378363.38, 5678971.83, 382839.61, 5685405.78)"
Niedersprockhövel,51341,Sprockhövel,5954028,"(376010.91, 5689944.39, 380108.84, 5694080.08)"
Obersprockhövel,51342,Sprockhövel,5954028,"(374856.58, 5687010.42, 380206.1, 5691216.4)"
Berge,51344,Gevelsberg,5954012,"(383973.96, 5687416.11, 387457.33, 5690202.72)"
Wengern,51350,Wetter (Ruhr),5954032,"(382789.46, 5692401.78, 386982.93, 5696734.51)"
Kamen,51351,Kamen,5978020,"(405032.23, 5713693.69, 409544.93, 5718278.27)"
Fröndenberg,51355,Fröndenberg/Ruhr,5978012,"(411629.56, 5702472.1, 416875.39, 5705876.65)"
Heil,51361,Bergkamen,5978004,"(400908.26, 5719721.12, 405642.66, 5722876.0)"
Herringen,51362,Hamm,5915000,"(410098.52, 5721841.28, 414989.21, 5726056.93)"
Nordbögge,51364,Bönen,5978008,"(410948.88, 5717630.22, 414127.21, 5720311.55)"
Pelkum,51367,Hamm,5915000,"(410797.83, 5719564.76, 417074.82, 5723276.17)"
Rünthe,51369,Bergkamen,5978004,"(404818.9, 5721629.57, 409020.18, 5724190.79)"
Westerbönen,51372,Bönen,5978008,"(414124.18, 5716363.78, 416777.37, 5719707.53)"
Berge,51375,Hamm,5915000,"(416935.3, 5720581.72, 420758.55, 5724692.84)"
Braam-Ostwennemar,51376,Hamm,5915000,"(421093.28, 5723060.82, 424839.97, 5726765.16)"
Flierich,51377,Bönen,5978008,"(415889.78, 5713737.44, 418584.18, 5717539.99)"
Bramey-Lenningsen,51382,Bönen,5978008,"(412634.55, 5712931.75, 416956.04, 5716648.59)"
Bottenberg,51604,Freudenberg,5970016,"(421878.99, 5638558.25, 423433.86, 5640207.32)"
Westtünnen,51395,Hamm,5915000,"(419848.63, 5721467.75, 422758.51, 5725769.32)"
Unna,51396,Unna,5978036,"(407052.13, 5707234.55, 411361.58, 5714139.46)"
Mühlhausen,51402,Unna,5978036,"(411341.74, 5708995.66, 413582.33, 5713456.48)"
Oberaden,51405,Bergkamen,5978004,"(400320.87, 5716711.02, 403593.09, 5720399.74)"
Massen,51406,Unna,5978036,"(404901.83, 5706709.33, 407452.76, 5712603.9)"
Uelzen,51410,Unna,5978036,"(409691.06, 5709299.15, 411988.89, 5713982.07)"
Weddinghofen,51412,Bergkamen,5978004,"(402873.94, 5716063.73, 405396.09, 5720962.98)"
Ergste,51417,Schwerte,5978028,"(397815.92, 5693588.74, 404880.21, 5698537.7)"
Hennen,51418,Iserlohn,5962024,"(403627.34, 5694721.64, 409967.12, 5703306.92)"
Frönsberg,51422,Hemer,5962016,"(412486.58, 5686741.64, 416430.01, 5690277.12)"
Ihmert,51423,Hemer,5962016,"(410829.82, 5685291.25, 414803.69, 5690893.03)"
Kesbern,51424,Iserlohn,5962024,"(406349.91, 5684197.84, 411153.45, 5689213.93)"
Anröchte,51444,Anröchte,5974004,"(451155.47, 5708482.07, 455564.87, 5715587.13)"
Häverstädt,52740,Minden,5770024,"(489762.33, 5788524.24, 493520.67, 5791378.36)"
Kneblinghausen,51477,Rüthen,5974036,"(462153.73, 5700992.72, 468594.67, 5707231.3)"
Haldem,52742,Stemwede,5770044,"(455830.29, 5804296.75, 460585.27, 5811360.72)"
Suttrop,51483,Warstein,5974044,"(454266.04, 5695338.63, 458964.56, 5703345.14)"
Werste,52822,Bad Oeynhausen,5770004,"(483006.4, 5784070.36, 486564.85, 5787224.82)"
Großdornberg,52858,Bielefeld,5711000,"(461880.75, 5765038.09, 465605.34, 5767443.19)"
Heepen,52859,Bielefeld,5711000,"(471403.48, 5762774.1, 474770.87, 5766234.87)"
Hillegossen,52860,Bielefeld,5711000,"(472543.7, 5759357.57, 474621.79, 5761408.63)"
Hoberge-Uerentrup,52861,Bielefeld,5711000,"(461170.96, 5762750.69, 465058.13, 5765618.83)"
Jöllenbeck,52864,Bielefeld,5711000,"(463719.48, 5769356.98, 470742.99, 5773917.38)"
Benninghausen,51460,Lippstadt,5974028,"(445998.57, 5720754.25, 450751.53, 5724261.06)"
Eikeloh,51461,Erwitte,5974016,"(457680.03, 5716064.46, 460616.37, 5720373.29)"
Erwitte,51462,Erwitte,5974016,"(451996.6, 5714609.45, 458016.79, 5721037.94)"
Steinhausen,52959,Büren,5774016,"(463574.42, 5711431.0, 470133.33, 5716262.65)"
Thüle,52960,Salzkotten,5774036,"(469009.18, 5726199.4, 473872.86, 5731076.06)"
Bad Westernkotten,51467,Erwitte,5974016,"(453635.84, 5715952.83, 458847.63, 5721777.91)"
Geseke,51468,Geseke,5974020,"(463798.46, 5715044.28, 471413.4, 5726012.24)"
Lippstadt,51469,Lippstadt,5974028,"(451649.27, 5721327.09, 457079.77, 5730165.09)"
Kallenhardt,51475,Rüthen,5974036,"(457720.72, 5695037.82, 463125.37, 5702384.29)"
Rüthen,51486,Rüthen,5974036,"(457452.05, 5698516.6, 467091.2, 5707715.04)"
Bökenförde,51487,Lippstadt,5974028,"(456603.7, 5719662.38, 459847.3, 5723673.88)"
Störmede,51495,Geseke,5974020,"(461027.13, 5716300.92, 464527.21, 5723146.5)"
Ramsbeck,51505,Bestwig,5958008,"(455541.87, 5679065.5, 461454.01, 5686708.53)"
Velmede,51506,Bestwig,5958008,"(454643.75, 5685750.2, 459003.04, 5694679.77)"
Berghausen,51507,Schmallenberg,5958040,"(441626.29, 5668301.4, 450099.36, 5674677.51)"
Dorlar,51510,Schmallenberg,5958040,"(443873.12, 5672146.53, 451050.27, 5677969.64)"
Fredeburg,51511,Schmallenberg,5958040,"(450406.44, 5669187.23, 455856.47, 5674405.2)"
Rarbach,51514,Schmallenberg,5958040,"(448814.6, 5672687.29, 454871.61, 5680883.79)"
Berge,51515,Meschede,5958032,"(438130.66, 5684032.03, 443396.58, 5691142.32)"
Calle,51516,Meschede,5958032,"(441743.27, 5682089.29, 448185.18, 5688008.44)"
Enkhausen,51518,Meschede,5958032,"(446826.68, 5680753.24, 451131.43, 5685808.02)"
Wennemen,51523,Meschede,5958032,"(442215.62, 5687617.91, 447305.27, 5695801.66)"
Bracht,51524,Schmallenberg,5958040,"(439158.75, 5665348.65, 447479.7, 5669943.93)"
Grafschaft,51525,Schmallenberg,5958040,"(451252.63, 5660347.15, 457680.19, 5669733.61)"
Fleckenberg,51529,Schmallenberg,5958040,"(446662.35, 5661140.06, 451501.33, 5666757.31)"
Oberkirchen,51530,Schmallenberg,5958040,"(451468.71, 5664155.85, 464295.53, 5673627.16)"
Schmallenberg,51531,Schmallenberg,5958040,"(448187.6, 5661541.93, 453221.37, 5669716.58)"
Wormbach,51535,Schmallenberg,5958040,"(446552.97, 5667784.22, 451496.51, 5672881.14)"
Fretter,51536,Finnentrop,5966012,"(430716.8, 5670177.57, 437966.89, 5677694.96)"
Lenhausen,51537,Finnentrop,5966012,"(425010.9, 5667215.0, 430002.94, 5677093.21)"
Bleche,51551,Drolshagen,5966008,"(409020.26, 5652474.85, 414713.11, 5658849.54)"
Brachtpe,51552,Drolshagen,5966008,"(414242.84, 5649064.06, 417611.04, 5653561.52)"
Dumicke,51554,Drolshagen,5966008,"(412245.8, 5653338.29, 418094.56, 5659418.4)"
Husten,51555,Drolshagen,5966008,"(410481.32, 5648096.24, 415582.16, 5652150.6)"
Altenhundem,51556,Lennestadt,5966020,"(433045.76, 5659142.67, 439645.37, 5665055.14)"
Drolshagen,51553,Drolshagen,5966008,"(411816.13, 5650875.77, 416554.66, 5655244.69)"
Heinsberg,51558,Kirchhundem,5966016,"(438622.53, 5650833.69, 445530.46, 5656584.22)"
Kirchhundem,51559,Kirchhundem,5966016,"(432346.99, 5656303.35, 438878.63, 5661975.25)"
Holzhausen,51575,Burbach,5970008,"(435592.4, 5618929.64, 441212.81, 5623012.82)"
Neunkirchen,51578,Neunkirchen,5970036,"(427706.85, 5625576.14, 430296.95, 5629678.77)"
Niederdresselndorf,51579,Burbach,5970008,"(435519.24, 5616143.14, 440746.5, 5619925.51)"
Wahlbach,51584,Burbach,5970008,"(430215.6, 5620101.11, 435202.84, 5625053.94)"
Wiederstein,51585,Neunkirchen,5970036,"(430833.26, 5622981.27, 435140.24, 5627415.78)"
Zeppenfeld,51588,Neunkirchen,5970036,"(429875.58, 5622020.81, 434909.31, 5627759.21)"
Buschhütten,51592,Kreuztal,5970024,"(428399.33, 5641860.17, 431722.84, 5645709.92)"
Eichen,51595,Kreuztal,5970024,"(425402.53, 5646577.08, 429386.86, 5649782.94)"
Kreuztal,51596,Kreuztal,5970024,"(428385.58, 5644815.86, 430343.76, 5649404.29)"
Littfeld,51600,Kreuztal,5970024,"(426062.69, 5648490.11, 431096.5, 5653313.71)"
Stockum,51734,Möhnesee,5974032,"(440021.35, 5699080.46, 442675.43, 5706412.31)"
Freudenberg,51608,Freudenberg,5970016,"(417606.91, 5636808.9, 422386.94, 5642076.13)"
Niederndorf,51618,Freudenberg,5970016,"(421346.02, 5633073.75, 425337.67, 5636561.09)"
Oberfischbach,51619,Freudenberg,5970016,"(422232.93, 5635283.3, 425113.63, 5638009.55)"
Eiserfeld,51678,Siegen,5970040,"(427604.66, 5629342.02, 431481.39, 5634234.27)"
Helberhausen,51630,Hilchenbach,5970020,"(438677.2, 5647314.45, 445129.78, 5651807.83)"
Lützel,51632,Hilchenbach,5970020,"(440774.86, 5644092.61, 445085.55, 5648624.35)"
Vormwald,51637,Hilchenbach,5970020,"(437765.0, 5647352.17, 443434.64, 5649784.15)"
Hilchenbach,51638,Hilchenbach,5970020,"(434445.1, 5647610.99, 439312.14, 5652988.97)"
Afholderbach,51639,Netphen,5970032,"(438493.04, 5642772.82, 442216.53, 5646915.85)"
Brauersdorf,51642,Netphen,5970032,"(438243.77, 5639814.12, 441670.89, 5642392.8)"
Korschenbroich,53188,Korschenbroich,5162020,"(323878.26, 5671785.31, 328377.07, 5678169.08)"
Viersen,53203,Viersen,5166032,"(315479.08, 5677303.81, 322580.49, 5683905.76)"
Bedburdyck,53204,Jüchen,5162012,"(326153.99, 5662947.19, 331710.68, 5670266.61)"
Jüchen,53224,Jüchen,5162012,"(322454.13, 5662311.57, 327340.21, 5665487.51)"
Schöller,53276,Wuppertal,5124000,"(361390.79, 5676954.22, 366429.43, 5681709.44)"
Vohwinkel,53277,Wuppertal,5124000,"(362742.25, 5674865.76, 367803.49, 5681879.72)"
Dönberg,53278,Wuppertal,5124000,"(367175.84, 5682935.93, 373192.66, 5686208.5)"
Cronenberg,53279,Wuppertal,5124000,"(367158.56, 5669905.26, 371981.76, 5677524.61)"
Langenberg,53280,Velbert,5158032,"(367080.98, 5687829.67, 371163.69, 5693892.18)"
Mettmann,53281,Mettmann,5158024,"(355567.27, 5675894.48, 363292.82, 5684559.05)"
Velbert,53282,Velbert,5158032,"(360589.71, 5686732.15, 367607.74, 5693223.82)"
Wülfrath,53283,Wülfrath,5158036,"(360440.55, 5680380.7, 365552.77, 5686031.33)"
Hainchen,51653,Netphen,5970032,"(443423.15, 5631675.01, 449662.39, 5639044.94)"
Repelen,53324,Moers,5170024,"(331393.77, 5703256.2, 338150.99, 5710804.03)"
Rheinberg,53325,Rheinberg,5170032,"(329011.5, 5710658.35, 334900.65, 5716125.94)"
Rheurdt,53328,Rheurdt,5154048,"(320638.54, 5702684.08, 326858.34, 5706921.74)"
Holzheim,53354,Neuss,5162024,"(334363.97, 5667462.19, 338412.96, 5671212.99)"
Kaarst,53355,Kaarst,5162016,"(329801.04, 5676541.37, 337746.82, 5681471.06)"
Nauholz,51657,Netphen,5970032,"(440385.36, 5639080.62, 445951.07, 5644328.68)"
Nenkersdorf,51658,Netphen,5970032,"(441807.44, 5636068.93, 448698.59, 5642435.24)"
Niedernetphen,51659,Netphen,5970032,"(435134.59, 5638885.52, 438039.47, 5644594.41)"
Obernetphen,51662,Netphen,5970032,"(436968.84, 5638308.03, 439122.77, 5641770.01)"
Rheinbach,54151,Rheinbach,5382048,"(351702.92, 5605917.84, 357636.49, 5612004.3)"
Roisdorf,54152,Bornheim,5382012,"(355650.89, 5620518.46, 361028.92, 5626230.27)"
Werthenbach,51670,Netphen,5970032,"(443027.87, 5634402.59, 448850.73, 5639459.64)"
Siegen,51671,Siegen,5970040,"(426987.49, 5632569.48, 433791.98, 5639195.05)"
Niederschelden,51681,Siegen,5970040,"(425023.03, 5631797.63, 430133.28, 5634558.74)"
Weidenau,51686,Siegen,5970040,"(429759.39, 5637631.16, 433661.8, 5641099.71)"
Niederdielfen,51688,Wilnsdorf,5970044,"(432772.75, 5632909.98, 437254.39, 5635549.55)"
Wilnsdorf,51693,Wilnsdorf,5970044,"(435688.77, 5626733.17, 439757.73, 5632497.09)"
Brockhausen,51698,Lippetal,5974024,"(436777.72, 5718472.56, 441667.63, 5721187.12)"
Wellentrup,52215,Blomberg,5766016,"(499397.64, 5752395.19, 502940.75, 5755575.82)"
Bergheim,52310,Steinheim,5762032,"(500313.38, 5740754.6, 505407.31, 5743625.76)"
Beverungen,52311,Beverungen,5762008,"(519963.71, 5720101.46, 527492.54, 5726871.17)"
Bühne,52326,Borgentreich,5762012,"(517540.65, 5711350.0, 525093.99, 5719409.51)"
Großeneder,52352,Borgentreich,5762012,"(508654.35, 5709767.14, 513794.84, 5712823.27)"
Dorfwelver,51708,Welver,5974048,"(426045.12, 5719757.03, 429202.79, 5721626.91)"
Delecke,51717,Möhnesee,5974032,"(433569.43, 5699604.48, 438906.17, 5706377.62)"
Höingen,51724,Ense,5974012,"(425781.7, 5702179.75, 430279.48, 5705582.54)"
Völlinghausen/Möhne,51737,Möhnesee,5974032,"(441018.04, 5697085.58, 445341.42, 5706055.19)"
Sief,54181,Aachen,5334002,"(297458.32, 5617519.67, 300233.14, 5621010.41)"
Heischeid,54208,Reichshof,5374040,"(401678.27, 5642978.67, 406147.29, 5648653.09)"
Hermesdorf,54209,Waldbröl,5374044,"(401947.04, 5637268.65, 407596.56, 5642859.53)"
Tüschen,54235,Lindlar,5374020,"(377232.9, 5648791.58, 381771.39, 5652979.02)"
Unterengelskirchen,54236,Engelskirchen,5374008,"(382478.05, 5645440.32, 388330.09, 5650678.47)"
Vellingen,54237,Lindlar,5374020,"(378575.42, 5648011.2, 384385.7, 5650681.05)"
Wipperfürth,54238,Wipperfürth,5374052,"(382315.09, 5660504.33, 391542.78, 5671869.46)"
Hückeswagen,54239,Hückeswagen,5374016,"(382381.8, 5666726.3, 384789.68, 5668578.48)"
Neuhückeswagen,54240,Hückeswagen,5374016,"(378958.61, 5662364.48, 388000.79, 5672968.53)"
Radevormwald,54241,Radevormwald,5374036,"(380909.61, 5669910.52, 390618.88, 5679005.99)"
Wipperfeld,54242,Wipperfürth,5374052,"(379078.18, 5658846.35, 385194.15, 5663144.02)"
Alsdorf,54251,Alsdorf,5334004,"(297431.91, 5636013.0, 302793.22, 5641755.68)"
Bardenberg,54252,Würselen,5334036,"(294935.15, 5635269.37, 298489.78, 5637803.62)"
Broichweiden,54253,Würselen,5334036,"(298274.87, 5631870.92, 303458.01, 5637373.18)"
Konzen,54276,Monschau,5334020,"(304440.3, 5606315.81, 307741.01, 5610225.39)"
Mützenich,54277,Monschau,5334020,"(299836.07, 5602587.71, 304857.47, 5607031.06)"
Kalterherberg,54278,Monschau,5334020,"(300486.96, 5597271.56, 306433.94, 5603764.75)"
Sötenich,54336,Kall,5366024,"(324559.04, 5597123.94, 328898.11, 5600883.7)"
Schmidtheim,54379,Dahlem,5366012,"(322331.53, 5583741.86, 329996.22, 5590726.25)"
Ostwig,51922,Bestwig,5958008,"(456720.65, 5688798.61, 461933.21, 5694832.47)"
