name,schluessel,gemeinde,gmdschl,bbox
Ahle,52601,Bünde,5758004,"(464119.89, 5781405.49, 468985.31, 5783526.82)"
Belke-Steinbeck,52603,Enger,5758008,"(470174.23, 5776380.32, 473035.68, 5778945.9)"
Besenkamp,52604,Enger,5758008,"(469200.83, 5777882.51, 472702.93, 5780217.12)"
Bustedt,52607,Bünde,5758004,"(472026.69, 5780160.04, 473424.98, 5782021.84)"
Diebrock,52608,Herford,5758012,"(473070.2, 5770966.1, 475929.25, 5775274.46)"
Alswede,52703,Lübbecke,5770020,"(469098.73, 5797514.57, 471240.26, 5799356.3)"
Dreyen,52609,Enger,5758008,"(465654.55, 5776804.68, 468739.03, 5779250.24)"
Eickum,52611,Herford,5758012,"(469666.29, 5771465.04, 473765.08, 5774908.55)"
Eilshausen,52612,Hiddenhausen,5758016,"(473851.36, 5778144.5, 476039.3, 5781334.81)"
Elverdissen,52613,Herford,5758012,"(473713.87, 5767532.1, 477292.72, 5772064.68)"
Enger,52614,Enger,5758008,"(467879.67, 5775596.17, 471411.08, 5778240.02)"
Häver,52619,Kirchlengern,5758020,"(475474.92, 5784541.96, 478438.37, 5787777.2)"
Herringhausen-Ost,52621,Herford,5758012,"(473142.06, 5774471.09, 475836.21, 5776046.05)"
Herringhausen-West,52622,Enger,5758008,"(471061.29, 5774400.52, 473790.75, 5777413.08)"
Hiddenhausen,52623,Hiddenhausen,5758016,"(472030.75, 5777996.91, 474395.44, 5781260.22)"
Holsen,52624,Bünde,5758004,"(464452.53, 5783061.06, 468411.71, 5785888.69)"
Hüffen,52626,Bünde,5758004,"(469872.83, 5779289.52, 472040.83, 5781423.83)"
Hunnebrock,52627,Bünde,5758004,"(469688.58, 5780620.05, 472473.01, 5782627.62)"
Laar,52630,Herford,5758012,"(470084.81, 5769492.78, 473504.27, 5772397.01)"
Lippinghausen,52632,Hiddenhausen,5758016,"(474345.24, 5776083.77, 476473.68, 5778793.97)"
Oetinghausen,52637,Hiddenhausen,5758016,"(472226.04, 5775531.07, 475646.34, 5778235.66)"
Oldinghausen,52638,Enger,5758008,"(468923.16, 5772420.91, 472046.58, 5776175.51)"
Pödinghausen,52640,Enger,5758008,"(468321.31, 5772872.97, 470235.34, 5776187.75)"
Quernheim,52641,Kirchlengern,5758020,"(474384.04, 5784887.02, 476494.9, 5788215.16)"
Rehmerloh,52642,Kirchlengern,5758020,"(475104.39, 5787001.53, 478168.54, 5789439.39)"
Rödinghausen,52643,Rödinghausen,5758028,"(463060.04, 5787594.58, 465434.54, 5791014.35)"
Schweicheln-Bermbeck,52645,Hiddenhausen,5758016,"(475517.6, 5776036.23, 478012.22, 5780616.79)"
Schwenningdorf,52646,Rödinghausen,5758028,"(464638.51, 5787365.23, 467892.41, 5790628.79)"
Siele,52647,Enger,5758008,"(467518.45, 5777840.18, 469716.05, 5780045.94)"
Stedefreund,52650,Herford,5758012,"(472916.06, 5769526.73, 474594.32, 5771297.25)"
Stift Quernheim,52651,Kirchlengern,5758020,"(473823.92, 5787608.11, 475492.76, 5789425.29)"
Südlengern-Dorf,52652,Kirchlengern,5758020,"(473792.15, 5780850.85, 476385.03, 5783148.17)"
Südlengern-Heide,52653,Bünde,5758004,"(472298.54, 5781038.25, 474376.29, 5783452.57)"
Sundern,52654,Hiddenhausen,5758016,"(475366.64, 5775923.25, 476833.33, 5777481.68)"
Uffeln,52655,Vlotho,5758036,"(490435.56, 5779426.35, 494990.02, 5782942.7)"
Wallenbrück,52659,Spenge,5758032,"(459485.52, 5775483.44, 463917.23, 5778482.61)"
Werfen,52660,Bünde,5758004,"(468123.95, 5779767.58, 470804.87, 5782454.55)"
Ahlsen,52701,Hüllhorst,5770016,"(474989.15, 5791502.79, 477813.98, 5794255.04)"
Aminghausen,52704,Minden,5770024,"(495946.32, 5795006.74, 497833.52, 5796988.27)"
Bölhorst,52710,Minden,5770024,"(491587.32, 5790705.85, 492913.92, 5791403.74)"
Börninghausen,52711,Preußisch Oldendorf,5770036,"(463179.64, 5790062.34, 467773.14, 5793184.21)"
Arrenkamp,52705,Stemwede,5770044,"(458716.21, 5805752.56, 461229.56, 5809779.01)"
Barkhausen,52707,Porta Westfalica,5770032,"(490511.25, 5787429.69, 494841.21, 5790750.98)"
Bröderhausen,52712,Hüllhorst,5770016,"(480281.73, 5788424.34, 482343.93, 5791287.45)"
Büttendorf,52714,Hüllhorst,5770016,"(475089.52, 5788621.51, 478183.04, 5791919.44)"
Costedt,52715,Porta Westfalica,5770032,"(488256.59, 5784915.9, 492186.29, 5787993.39)"
Destel,52718,Stemwede,5770044,"(463647.02, 5800455.0, 467503.32, 5804592.09)"
Dielingen,52719,Stemwede,5770044,"(452236.73, 5809283.61, 456581.77, 5812308.15)"
Döhren,52720,Petershagen,5770028,"(500632.77, 5807214.55, 505079.94, 5811040.17)"
Drohne,52721,Stemwede,5770044,"(453203.51, 5804971.55, 456752.99, 5809820.26)"
Eickhorst,52723,Hille,5770012,"(480782.95, 5793836.42, 483144.41, 5796131.29)"
Eilhausen,52725,Lübbecke,5770020,"(477006.96, 5793997.7, 478803.4, 5797083.99)"
Eldagsen,52727,Petershagen,5770028,"(494549.45, 5803047.69, 497320.29, 5805853.15)"
Engershausen,52728,Preußisch Oldendorf,5770036,"(465248.99, 5795218.22, 467147.51, 5797875.33)"
Fabbenstedt,52730,Espelkamp,5770008,"(470179.47, 5800581.48, 474394.67, 5804135.59)"
Getmold,52735,Preußisch Oldendorf,5770036,"(463346.35, 5797474.96, 466465.9, 5801445.95)"
Gorspen-Vahlsen,52736,Petershagen,5770028,"(500338.9, 5802672.02, 503425.9, 5805250.47)"
Großenheerse,52737,Petershagen,5770028,"(498537.48, 5809147.5, 500652.94, 5811306.66)"
Haddenhausen,52738,Minden,5770024,"(485808.74, 5789615.23, 489729.18, 5793227.64)"
Hahlen,52741,Minden,5770024,"(488066.09, 5793468.66, 492503.07, 5796951.45)"
Harlinghausen,52743,Preußisch Oldendorf,5770036,"(463035.31, 5792937.15, 465493.9, 5798195.81)"
Hartum,52744,Hille,5770012,"(484997.89, 5793478.63, 489582.41, 5797682.18)"
Hausberge,52745,Porta Westfalica,5770032,"(493410.41, 5785980.7, 497975.45, 5788194.79)"
Hedem,52746,Preußisch Oldendorf,5770036,"(467263.11, 5796152.3, 470113.12, 5800743.05)"
Heimsen,52747,Petershagen,5770028,"(501479.58, 5810131.02, 506770.54, 5814557.4)"
Holtrup,52750,Porta Westfalica,5770032,"(489079.22, 5782460.43, 492855.01, 5785688.48)"
Huchzen,52754,Hüllhorst,5770016,"(477459.32, 5786894.24, 479324.96, 5788891.54)"
Ilse,52756,Petershagen,5770028,"(501339.11, 5804674.11, 506126.67, 5807427.88)"
Ilserheide,52757,Petershagen,5770028,"(502814.92, 5802410.36, 505635.84, 5805505.87)"
Ilvese,52758,Petershagen,5770028,"(500712.92, 5809975.17, 505705.67, 5813819.48)"
Isenstedt,52759,Espelkamp,5770008,"(473047.37, 5798274.03, 478433.2, 5801947.87)"
Jössen,52760,Petershagen,5770028,"(498025.43, 5803458.99, 501444.58, 5806122.27)"
Kutenhausen,52763,Minden,5770024,"(492269.91, 5796351.36, 494322.5, 5800922.91)"
Lahde,52764,Petershagen,5770028,"(498092.43, 5800333.79, 501353.15, 5804515.62)"
Lashorst,52765,Preußisch Oldendorf,5770036,"(465918.1, 5796960.33, 467740.42, 5800725.69)"
Lerbeck,52766,Porta Westfalica,5770032,"(494503.74, 5787811.92, 497840.06, 5790318.52)"
Leteln,52767,Minden,5770024,"(494583.2, 5795024.55, 496850.26, 5797360.87)"
Levern,52768,Stemwede,5770044,"(459723.57, 5801269.02, 464585.48, 5805671.71)"
Lohe,52769,Bad Oeynhausen,5770004,"(484236.41, 5779127.04, 488385.48, 5782240.21)"
Lohfeld,52770,Porta Westfalica,5770032,"(495975.76, 5784067.08, 500736.74, 5787600.71)"
Lübbecke,52771,Lübbecke,5770020,"(471823.17, 5791723.04, 475673.25, 5798543.64)"
Maaslingen,52772,Petershagen,5770028,"(491470.8, 5802912.45, 494889.15, 5806213.97)"
Meißen,52773,Minden,5770024,"(495743.14, 5790096.89, 498553.34, 5793114.98)"
Meßlingen,52774,Petershagen,5770028,"(489805.77, 5801858.42, 494253.7, 5805120.96)"
Möllbergen,52776,Porta Westfalica,5770032,"(493141.8, 5781593.56, 496393.46, 5785279.38)"
Neesen,52778,Porta Westfalica,5770032,"(494438.04, 5787898.7, 496461.93, 5791334.52)"
Nettelstedt,52779,Lübbecke,5770020,"(478130.03, 5793170.72, 481496.26, 5797142.95)"
Niedermehnen,52781,Stemwede,5770044,"(461683.11, 5804200.99, 467102.55, 5808635.44)"
Nordhemmern,52782,Hille,5770012,"(484292.46, 5797357.36, 487664.49, 5802581.18)"
Offelten,52785,Preußisch Oldendorf,5770036,"(465289.34, 5792897.42, 468059.45, 5797162.48)"
Oppendorf,52786,Stemwede,5770044,"(462202.57, 5808922.99, 468254.15, 5816662.15)"
